detector,commissioning_size,seed,reconstructed_threshold,frozen_threshold,reconstructed_fpr,frozen_fpr,reconstructed_recall,frozen_recall,reconstructed_retained_features,frozen_retained_features,reconstructed_target_weight,frozen_target_weight,passed
TargetOnly,10,11,17642.441475491927,17642.441475491923,0.04,0.04,0.5814569536423841,0.5814569536423841,529,529,,,True
Pooled,10,11,40.32633685352581,40.326336853525774,0.04,0.04,0.9059602649006623,0.9059602649006624,542,542,,,True
RACE,10,11,37.87301819987917,37.87301819987921,0.03,0.03,0.7006622516556291,0.7006622516556291,542,542,0.14285714285714285,0.1428571428571428,True
SourceOnly,25,11,43.99057039074653,43.99057039074639,0.03,0.03,0.7814569536423841,0.7814569536423841,540,540,,,True
TargetOnly,25,11,19848.09067401646,19848.090674016465,0.03,0.03,0.6105960264900663,0.6105960264900663,531,531,,,True
Pooled,25,11,37.58183719218997,37.58183719218996,0.04,0.04,0.9708609271523179,0.970860927152318,542,542,,,True
RACE,25,11,32.033955015207795,32.03395501520779,0.02,0.02,0.8834437086092716,0.8834437086092716,542,542,0.29411764705882354,0.2941176470588235,True
SourceOnly,50,11,43.99057039074653,43.99057039074639,0.03,0.03,0.7814569536423841,0.7814569536423841,540,540,,,True
TargetOnly,50,11,106.90147903919247,106.90147903919257,0.01,0.01,1.0,1.0,534,534,,,True
Pooled,50,11,34.9703980325031,34.97039803250312,0.04,0.04,0.9933774834437086,0.9933774834437086,542,542,,,True
RACE,50,11,31.522919663601915,31.522919663601865,0.03,0.03,0.9841059602649007,0.9841059602649008,542,542,0.45454545454545453,0.4545454545454545,True
SourceOnly,100,11,43.99057039074653,43.99057039074639,0.03,0.03,0.7814569536423841,0.7814569536423841,540,540,,,True
TargetOnly,100,11,78.20404752182317,78.2040475218232,0.01,0.01,1.0,1.0,534,534,,,True
Pooled,100,11,33.59842646596563,33.59842646596552,0.05,0.05,0.9986754966887417,0.9986754966887416,542,542,,,True
RACE,100,11,32.549638643255726,32.549638643255726,0.04,0.04,0.9973509933774835,0.9973509933774836,542,542,0.625,0.625,True
SourceOnly,10,12,43.91186629127825,43.91186629127832,0.01,0.01,0.7827814569536424,0.7827814569536424,540,540,,,True
TargetOnly,10,12,24717.06986345061,24717.069863450582,0.01,0.01,0.5748344370860927,0.5748344370860927,529,529,,,True
Pooled,10,12,62.82470788395337,62.82470788395355,0.01,0.01,0.56158940397351,0.56158940397351,542,542,,,True
RACE,10,12,39.353282611187005,39.35328261118693,0.01,0.01,0.6940397350993377,0.6940397350993377,542,542,0.14285714285714285,0.1428571428571428,True
SourceOnly,25,12,43.91186629127825,43.91186629127832,0.01,0.01,0.7827814569536424,0.7827814569536424,540,540,,,True
TargetOnly,25,12,53.95430505084481,53.95430505084484,0.02,0.02,1.0,1.0,532,532,,,True
